date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
01/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
02/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.112335273
03/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
04/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
05/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
06/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
07/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
08/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
09/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
10/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
11/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
12/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
13/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
14/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
15/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
16/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
17/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
18/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
19/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
20/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
21/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
22/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
23/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
24/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
25/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
26/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
27/07/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.60134912,0.191944407,0.33879016,59.21988873,59.24335855,0.028311273
